"_id",count,place.0.name,place.0.place_type,place.0.bounding_box.coordinates.0.0.0,place.0.bounding_box.coordinates.0.0.1,place.0.bounding_box.coordinates.0.1.0,place.0.bounding_box.coordinates.0.1.1,place.0.bounding_box.coordinates.0.2.0,place.0.bounding_box.coordinates.0.2.1,place.0.bounding_box.coordinates.0.3.0,place.0.bounding_box.coordinates.0.3.1,place.0.bounding_box.type
012e748c1f05027d,3,"Hampton Beach, NH",city,-70.826636,42.896601,-70.826636,42.927396,-70.794597,42.927396,-70.794597,42.896601,Polygon
010c0c88551b58ec,3,"Plaistow, NH",city,-71.135663,42.80614,-71.135663,42.879479,-71.054851,42.879479,-71.054851,42.80614,Polygon
59eaa92f1e96c615,3,"Hudson, NY",city,-73.807203,42.235321,-73.807203,42.262946,-73.763695,42.262946,-73.763695,42.235321,Polygon
002e35b30ae679a6,3,"Devon, PA",city,-75.474359,40.030353,-75.474359,40.057864,-75.414963,40.057864,-75.414963,40.030353,Polygon
78de1f5712fe77bf,3,"West Conshohocken, PA",city,-75.328238,40.060517,-75.328238,40.080297,-75.304803,40.080297,-75.304803,40.060517,Polygon
00f3c48e0012b4a8,3,"York, ME",city,-70.713886,43.125081,-70.713886,43.161913,-70.679248,43.161913,-70.679248,43.125081,Polygon
00e1b9fa0f2e0770,3,"Stratham, NH",city,-70.92868,42.987143,-70.92868,43.056982,-70.858541,43.056982,-70.858541,42.987143,Polygon
00e3fce94b8fd7da,3,"Poestenkill, NY",city,-73.612892,42.677378,-73.612892,42.705116,-73.538825,42.705116,-73.538825,42.677378,Polygon
9d510608e32022ec,3,"Lake Carmel, NY",city,-73.691105,41.436676,-73.691105,41.497116,-73.650361,41.497116,-73.650361,41.436676,Polygon
01ca6b325930d4fb,3,"Riverside, CT",city,-73.596302,41.010946,-73.596302,41.057949,-73.568087,41.057949,-73.568087,41.010946,Polygon
01c3d12d4fe985e2,3,"Hyde Park, NY",city,-73.94838,41.735688,-73.94838,41.848195,-73.852278,41.848195,-73.852278,41.735688,Polygon
da9663d010c8036b,3,"Boothwyn, PA",city,-75.460232,39.822889,-75.460232,39.849375,-75.428586,39.849375,-75.428586,39.822889,Polygon
5286d44d26ab659c,3,"Needham, MA",city,-71.300229,42.254989,-71.300229,42.316633,-71.188329,42.316633,-71.188329,42.254989,Polygon
01c379eb6a787d0b,3,"Putnam Valley, NY",city,-73.929024,41.32751,-73.929024,41.409449,-73.795132,41.409449,-73.795132,41.32751,Polygon
af15edf0b84b6e22,3,"Old Orchard Beach, ME",city,-70.425305,43.496003,-70.425305,43.550482,-70.353294,43.550482,-70.353294,43.496003,Polygon
321da8a00987ba9f,3,"Smyrna, DE",city,-75.631177,39.255897,-75.631177,39.311468,-75.587461,39.311468,-75.587461,39.255897,Polygon
51b99055e77ef76b,3,"Pike Creek, DE",city,-75.724736,39.709246,-75.724736,39.764308,-75.674178,39.764308,-75.674178,39.709246,Polygon
142f119ecdce39b3,3,"West Hills, NY",city,-73.454572,40.795847,-73.454572,40.846627,-73.409486,40.846627,-73.409486,40.795847,Polygon
6a805e8976fa2bdb,3,"Demarest, NJ",city,-73.975858,40.940513,-73.975858,40.96801,-73.936424,40.96801,-73.936424,40.940513,Polygon
018fa46822880a42,3,"Medford Lakes, NJ",city,-74.835036,39.789322,-74.835036,39.87614,-74.735139,39.87614,-74.735139,39.789322,Polygon
003b7d9e5ada46de,3,"Harding, NJ",city,-74.539905,40.731922,-74.539905,40.768924,-74.493638,40.768924,-74.493638,40.731922,Polygon
01375c1d21e19317,3,"Conklin, NY",city,-75.866582,41.997806,-75.866582,42.103341,-75.762366,42.103341,-75.762366,41.997806,Polygon
4ebcf64484051ec2,3,"Penndel, PA",city,-74.924109,40.148975,-74.924109,40.161725,-74.906458,40.161725,-74.906458,40.148975,Polygon
1729c4a1df8b0026,3,"Ogdensburg, NJ",city,-74.623253,41.060157,-74.623253,41.09769,-74.576912,41.09769,-74.576912,41.060157,Polygon
29717bc105cc84bd,3,"New Milford, PA",city,-75.734831,41.866263,-75.734831,41.889678,-75.717866,41.889678,-75.717866,41.866263,Polygon
005f17b732c589e6,3,"Flanders, NY",city,-72.649362,40.87032,-72.649362,40.91954,-72.599882,40.91954,-72.599882,40.87032,Polygon
0064fdc9446725f4,3,"Marlborough, CT",city,-72.480796,41.615919,-72.480796,41.649183,-72.459658,41.649183,-72.459658,41.615919,Polygon
009bcec343308e8a,3,"Shore Acres, NJ",city,-74.111171,40.012718,-74.111171,40.036301,-74.076392,40.036301,-74.076392,40.012718,Polygon
16ff60eaacd70320,3,"Lakeview, NY",city,-73.662645,40.662944,-73.662645,40.690282,-73.632762,40.690282,-73.632762,40.662944,Polygon
17705d4a13d65623,3,"Norwood, Bronx",neighborhood,-73.887184,40.867723,-73.887184,40.887194,-73.870218,40.887194,-73.870218,40.867723,Polygon
30839b0d8be27742,3,"Wading River, NY",city,-72.863791,40.914625,-72.863791,40.970336,-72.798577,40.970336,-72.798577,40.914625,Polygon
01ad25b170013bbc,3,"West Boylston, MA",city,-71.808405,42.311245,-71.808405,42.400581,-71.760995,42.400581,-71.760995,42.311245,Polygon
255794afe77688b1,3,"Fort George, Manhattan",neighborhood,-73.938614,40.84706,-73.938614,40.866827,-73.918383,40.866827,-73.918383,40.84706,Polygon
2b67ef54f9ec31f5,3,"Brattleboro, VT",city,-72.589438,42.823808,-72.589438,42.896919,-72.535944,42.896919,-72.535944,42.823808,Polygon
6b24fd2834eaa53c,3,"Niantic, CT",city,-72.218134,41.299119,-72.218134,41.343491,-72.182814,41.343491,-72.182814,41.299119,Polygon
6757a06f4bab6209,3,"Stony Point, NY",city,-74.056211,41.214001,-74.056211,41.274615,-73.963123,41.274615,-73.963123,41.214001,Polygon
34d0be96a6e9eabe,3,"Trainer, PA",city,-75.417657,39.81553,-75.417657,39.837641,-75.393862,39.837641,-75.393862,39.81553,Polygon
e49c3e7bd8c1bc7a,3,"Lawrence, NY",city,-73.745859,40.591812,-73.745859,40.621622,-73.686294,40.621622,-73.686294,40.591812,Polygon
229e5a93e45f6eca,3,"Middle Island, NY",city,-72.977039,40.849783,-72.977039,40.908528,-72.915034,40.908528,-72.915034,40.849783,Polygon
