Rank,Institution,Undergraduates,Postgraduates,Total students
130,Leeds Trinity University,"2,790",715,"3,505"
131,Arts University Bournemouth,"2,880",75,"2,955"
132,Newman University,"2,225",500,"2,725"
133,University of St Mark and St John,"2,035",385,"2,420"
134=,Bishop Grosseteste University,"1,740",555,"2,290"
134=,Stranmillis University College,"1,740",555,"2,290"
136,University of Buckingham,"1,150","1,095","2,245"
137,Royal Veterinary College[c],"1,635",510,"2,145"
138,Ravensbourne,"1,985",70,"2,055"
139,Norwich University of the Arts,"1,820",60,"1,875"
140,Glasgow School of Art,"1,385",455,"1,840"
141,London Business School[c],0,"1,790","1,790"
142,SRUC,"1,565",50,"1,615"
143,Royal College of Art,0,"1,445","1,445"
144,Conservatoire for Dance and Drama,"1,070",190,"1,260"
145,London School of Hygiene and Tropical Medicine[c],0,"1,245","1,245"
146,Royal Agricultural University,950,235,"1,185"
147,Leeds College of Art,"1,145",25,"1,170"
148,St Mary's University College,860,295,"1,155"
149,Royal Central School of Speech and Drama[c],635,355,995
150,Plymouth College of Art,985,10,995
151,Royal Conservatoire of Scotland,790,195,985
152,Trinity Laban Conservatoire of Music and Dance,695,270,960
153,Guildhall School of Music and Drama,555,355,905
154,Royal College of Music,425,380,810
155,Royal Northern College of Music,595,210,805
156,Rose Bruford College,730,60,790
157,Royal Academy of Music[c],360,410,775
158,Writtle University College,760,0,760
159,The Liverpool Institute for Performing Arts,715,0,715
160,Heythrop College[c],350,355,700
161,Courtauld Institute of Art[c],165,305,470
162,Institute of Cancer Research[c],0,300,300
163,University of London (Institutes and activities),0,235,235
164,National Film and Television School,0,225,225
165,University of Wales (central functions),0,5,5
